,dataset,sample_idx,length,rotation,curve_x,curve_y,beak_radius_start
436,145,B,3.75,-6.283185307179586,0.0,-1.0,1.5
437,145,M,3.75,-3.141592653589793,0.0,-0.5,1.5
438,146,A,3.75,0.0,0.0,0.0,1.5
439,146,B,3.75,-6.283185307179586,0.0,-1.0,2.5
440,146,M,3.75,-3.141592653589793,0.0,-0.5,2.0
441,147,A,3.75,0.0,0.0,0.0,1.5
442,147,B,3.75,-6.283185307179586,0.0,0.0,0.5
443,147,M,3.75,-3.141592653589793,0.0,0.0,1.0
444,148,A,3.75,0.0,0.0,0.0,1.5
445,148,B,3.75,-6.283185307179586,0.0,0.0,1.5
446,148,M,3.75,-3.141592653589793,0.0,0.0,1.5
447,149,A,3.75,0.0,0.0,0.0,1.5
448,149,B,3.75,-6.283185307179586,0.0,0.0,2.5
449,149,M,3.75,-3.141592653589793,0.0,0.0,2.0
450,150,A,3.75,0.0,0.0,0.0,1.5
451,150,B,3.75,-6.283185307179586,0.0,1.0,0.5
452,150,M,3.75,-3.141592653589793,0.0,0.5,1.0
453,151,A,3.75,0.0,0.0,0.0,1.5
454,151,B,3.75,-6.283185307179586,0.0,1.0,1.5
455,151,M,3.75,-3.141592653589793,0.0,0.5,1.5
456,152,A,3.75,0.0,0.0,0.0,1.5
457,152,B,3.75,-6.283185307179586,0.0,1.0,2.5
458,152,M,3.75,-3.141592653589793,0.0,0.5,2.0
459,153,A,3.75,0.0,0.0,0.0,1.5
460,153,B,3.75,-6.283185307179586,1.0,-1.0,0.5
461,153,M,3.75,-3.141592653589793,0.5,-0.5,1.0
462,154,A,3.75,0.0,0.0,0.0,1.5
463,154,B,3.75,-6.283185307179586,1.0,-1.0,1.5
464,154,M,3.75,-3.141592653589793,0.5,-0.5,1.5
465,155,A,3.75,0.0,0.0,0.0,1.5
466,155,B,3.75,-6.283185307179586,1.0,-1.0,2.5
467,155,M,3.75,-3.141592653589793,0.5,-0.5,2.0
468,156,A,3.75,0.0,0.0,0.0,1.5
469,156,B,3.75,-6.283185307179586,1.0,0.0,0.5
470,156,M,3.75,-3.141592653589793,0.5,0.0,1.0
471,157,A,3.75,0.0,0.0,0.0,1.5
472,157,B,3.75,-6.283185307179586,1.0,0.0,1.5
